HR=60 GSR=520 (X,Y,Z)=(-5.3, 1.1, 2.5) Time=29.73476
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.3, 21.2) Time=0.02
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.3, 21.2) Time=0.04
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.369634
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.4329848
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.4645586
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.4881811
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.5140525
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.5431681
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.5739586
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.6064017
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.6592913
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.6977066
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.7388804
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.762669
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.787464
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.8192279
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.8458257
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.8739372
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.9035569
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.9329656
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.9625847
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=0.9969223
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.037239
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.063749
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.099143
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.135321
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.174327
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.21378
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.26486
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.296002
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.324133
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.35303
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.389859
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.421621
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.46543
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.49467
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.531665
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.566318
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.600021
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.632301
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.676154
HR=0 GSR=0 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.706936
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.740758
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.774882
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.811471
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.846906
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.891941
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.918675
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.952246
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=1.978689
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=2.003197
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=2.029926
HR=0 GSR=520 (X,Y,Z)=(-28.0, 1.1, 21.2) Time=2.070409
HR=0 GSR=520 (X,Y,Z)=(-27.9, 1.1, 21.2) Time=2.115103
HR=0 GSR=520 (X,Y,Z)=(-27.8, 1.1, 21.3) Time=2.140235
HR=0 GSR=520 (X,Y,Z)=(-27.8, 1.1, 21.3) Time=2.168535
HR=0 GSR=520 (X,Y,Z)=(-27.7, 1.1, 21.3) Time=2.195747
HR=0 GSR=520 (X,Y,Z)=(-27.6, 1.1, 21.3) Time=2.224546
HR=0 GSR=520 (X,Y,Z)=(-27.5, 1.1, 21.4) Time=2.25094
HR=0 GSR=520 (X,Y,Z)=(-27.5, 1.1, 21.4) Time=2.279873
HR=0 GSR=520 (X,Y,Z)=(-27.3, 1.1, 21.4) Time=2.319991
HR=0 GSR=520 (X,Y,Z)=(-27.2, 1.1, 21.4) Time=2.352411
HR=0 GSR=520 (X,Y,Z)=(-27.1, 1.1, 21.4) Time=2.383149
HR=0 GSR=520 (X,Y,Z)=(-27.0, 1.1, 21.4) Time=2.41992
HR=0 GSR=520 (X,Y,Z)=(-26.9, 1.1, 21.4) Time=2.44682
HR=0 GSR=520 (X,Y,Z)=(-26.9, 1.1, 21.4) Time=2.471358
HR=0 GSR=520 (X,Y,Z)=(-26.8, 1.1, 21.4) Time=2.495785
HR=0 GSR=520 (X,Y,Z)=(-26.7, 1.1, 21.5) Time=2.527083
HR=0 GSR=520 (X,Y,Z)=(-26.6, 1.1, 21.5) Time=2.552829
HR=0 GSR=520 (X,Y,Z)=(-26.6, 1.1, 21.5) Time=2.579436
HR=0 GSR=520 (X,Y,Z)=(-26.4, 1.1, 21.5) Time=2.622944
HR=0 GSR=520 (X,Y,Z)=(-26.3, 1.1, 21.5) Time=2.647053
HR=0 GSR=520 (X,Y,Z)=(-25.9, 1.1, 21.5) Time=2.686099
HR=0 GSR=520 (X,Y,Z)=(-25.5, 1.1, 21.6) Time=2.721958
HR=0 GSR=518 (X,Y,Z)=(-25.1, 1.1, 21.6) Time=2.762128
HR=0 GSR=518 (X,Y,Z)=(-24.9, 1.1, 21.6) Time=2.787308
HR=0 GSR=518 (X,Y,Z)=(-24.7, 1.1, 21.6) Time=2.814873
HR=0 GSR=518 (X,Y,Z)=(-24.3, 1.1, 21.7) Time=2.84487
HR=0 GSR=518 (X,Y,Z)=(-24.1, 1.1, 21.7) Time=2.872064
HR=0 GSR=518 (X,Y,Z)=(-23.9, 1.1, 21.7) Time=2.898436
HR=0 GSR=518 (X,Y,Z)=(-23.5, 1.1, 21.7) Time=2.926746
HR=0 GSR=518 (X,Y,Z)=(-23.1, 1.1, 21.7) Time=2.961981
HR=0 GSR=518 (X,Y,Z)=(-22.9, 1.1, 21.7) Time=2.987281
HR=0 GSR=518 (X,Y,Z)=(-22.7, 1.1, 21.7) Time=3.013329
HR=0 GSR=518 (X,Y,Z)=(-22.3, 1.1, 21.8) Time=3.043379
HR=0 GSR=518 (X,Y,Z)=(-22.1, 1.1, 21.8) Time=3.068496
HR=0 GSR=518 (X,Y,Z)=(-21.9, 1.1, 21.8) Time=3.097494
HR=0 GSR=518 (X,Y,Z)=(-21.5, 1.1, 21.8) Time=3.124173
HR=0 GSR=518 (X,Y,Z)=(-21.3, 1.1, 21.8) Time=3.150568
HR=0 GSR=518 (X,Y,Z)=(-20.9, 1.1, 21.8) Time=3.184044
HR=0 GSR=518 (X,Y,Z)=(-20.7, 1.1, 21.8) Time=3.210984
HR=0 GSR=518 (X,Y,Z)=(-20.5, 1.1, 21.8) Time=3.237517
HR=0 GSR=518 (X,Y,Z)=(-20.1, 1.1, 21.8) Time=3.263934
HR=0 GSR=518 (X,Y,Z)=(-19.7, 1.1, 21.8) Time=3.301348
HR=0 GSR=518 (X,Y,Z)=(-19.5, 1.1, 21.8) Time=3.328481
HR=0 GSR=518 (X,Y,Z)=(-19.3, 1.1, 21.8) Time=3.352429
HR=0 GSR=518 (X,Y,Z)=(-18.9, 1.1, 21.9) Time=3.386461
HR=0 GSR=518 (X,Y,Z)=(-18.7, 1.1, 21.9) Time=3.413395
HR=0 GSR=518 (X,Y,Z)=(-18.3, 1.1, 21.9) Time=3.440077
HR=0 GSR=518 (X,Y,Z)=(-18.1, 1.1, 21.9) Time=3.476457
HR=0 GSR=518 (X,Y,Z)=(-17.7, 1.1, 21.9) Time=3.504218
HR=0 GSR=518 (X,Y,Z)=(-17.3, 1.1, 21.9) Time=3.543527
HR=0 GSR=518 (X,Y,Z)=(-17.1, 1.1, 21.9) Time=3.571174
HR=0 GSR=518 (X,Y,Z)=(-16.7, 1.1, 21.9) Time=3.60199
HR=0 GSR=518 (X,Y,Z)=(-16.5, 1.1, 21.9) Time=3.629277
HR=0 GSR=518 (X,Y,Z)=(-16.3, 1.1, 21.9) Time=3.652754
HR=0 GSR=518 (X,Y,Z)=(-15.9, 1.1, 21.9) Time=3.680544
HR=0 GSR=518 (X,Y,Z)=(-15.7, 1.1, 21.9) Time=3.706481
HR=0 GSR=518 (X,Y,Z)=(-15.5, 1.1, 21.9) Time=3.730189
HR=0 GSR=520 (X,Y,Z)=(-15.3, 1.1, 21.9) Time=3.754669
HR=0 GSR=520 (X,Y,Z)=(-15.1, 1.1, 21.9) Time=3.778008
HR=0 GSR=520 (X,Y,Z)=(-14.7, 1.1, 21.9) Time=3.808647
HR=0 GSR=520 (X,Y,Z)=(-14.5, 1.1, 21.9) Time=3.837152
HR=0 GSR=520 (X,Y,Z)=(-14.1, 1.1, 21.9) Time=3.873417
HR=0 GSR=520 (X,Y,Z)=(-13.7, 1.1, 21.9) Time=3.90037
HR=0 GSR=520 (X,Y,Z)=(-13.5, 1.1, 21.9) Time=3.928311
HR=0 GSR=520 (X,Y,Z)=(-13.3, 1.1, 21.9) Time=3.953255
HR=0 GSR=520 (X,Y,Z)=(-13.1, 1.1, 21.9) Time=3.9798
HR=0 GSR=520 (X,Y,Z)=(-12.7, 1.1, 21.8) Time=4.012831
HR=0 GSR=520 (X,Y,Z)=(-12.3, 1.1, 21.8) Time=4.042346
HR=0 GSR=520 (X,Y,Z)=(-12.1, 1.1, 21.8) Time=4.070772
HR=0 GSR=520 (X,Y,Z)=(-11.9, 1.1, 21.8) Time=4.096699
HR=0 GSR=520 (X,Y,Z)=(-11.5, 1.1, 21.8) Time=4.122917
HR=0 GSR=520 (X,Y,Z)=(-11.3, 1.1, 21.8) Time=4.147212
HR=0 GSR=520 (X,Y,Z)=(-11.1, 1.1, 21.8) Time=4.173328
HR=0 GSR=520 (X,Y,Z)=(-10.7, 1.1, 21.7) Time=4.200007
HR=0 GSR=520 (X,Y,Z)=(-10.5, 1.1, 21.7) Time=4.231288
HR=0 GSR=520 (X,Y,Z)=(-10.2, 1.1, 21.7) Time=4.268466
HR=0 GSR=520 (X,Y,Z)=(-10.0, 1.1, 21.7) Time=4.293102
HR=0 GSR=520 (X,Y,Z)=(-9.6, 1.1, 21.7) Time=4.324193
HR=0 GSR=520 (X,Y,Z)=(-9.4, 1.1, 21.7) Time=4.35206
HR=0 GSR=520 (X,Y,Z)=(-9.2, 1.1, 21.7) Time=4.376362
HR=0 GSR=520 (X,Y,Z)=(-8.8, 1.1, 21.6) Time=4.402814
HR=0 GSR=520 (X,Y,Z)=(-8.6, 1.1, 21.6) Time=4.436874
HR=0 GSR=520 (X,Y,Z)=(-8.2, 1.1, 21.6) Time=4.461905
HR=0 GSR=520 (X,Y,Z)=(-8.0, 1.1, 21.6) Time=4.489427
HR=0 GSR=520 (X,Y,Z)=(-7.8, 1.1, 21.6) Time=4.515148
HR=0 GSR=520 (X,Y,Z)=(-7.4, 1.1, 21.5) Time=4.542512
HR=0 GSR=520 (X,Y,Z)=(-7.2, 1.1, 21.5) Time=4.569551
HR=0 GSR=520 (X,Y,Z)=(-7.0, 1.1, 21.5) Time=4.595855
HR=0 GSR=520 (X,Y,Z)=(-6.6, 1.1, 21.4) Time=4.62824
HR=0 GSR=520 (X,Y,Z)=(-6.2, 1.1, 21.4) Time=4.664087
HR=0 GSR=520 (X,Y,Z)=(-6.0, 1.1, 21.4) Time=4.697497
HR=0 GSR=520 (X,Y,Z)=(-5.6, 1.1, 21.3) Time=4.723572
HR=0 GSR=520 (X,Y,Z)=(-5.4, 1.1, 21.3) Time=4.74735
HR=0 GSR=519 (X,Y,Z)=(-5.2, 1.1, 21.3) Time=4.770899
HR=0 GSR=519 (X,Y,Z)=(-5.0, 1.1, 21.2) Time=4.797961
HR=0 GSR=519 (X,Y,Z)=(-4.7, 1.1, 21.2) Time=4.823371
HR=0 GSR=519 (X,Y,Z)=(-4.7, 1.1, 21.1) Time=4.850106
HR=0 GSR=519 (X,Y,Z)=(-4.7, 1.1, 21.0) Time=4.885252
HR=0 GSR=519 (X,Y,Z)=(-4.6, 1.1, 20.8) Time=4.911883
HR=0 GSR=519 (X,Y,Z)=(-4.4, 1.1, 20.7) Time=4.936776
HR=0 GSR=519 (X,Y,Z)=(-4.1, 1.1, 20.5) Time=4.962784
